Month,Obs #,name,E-mail,Nationality,User Name,Tel,Address,Job Title,DoB,Gender,Marital Status,Education Level,X Entity,X1 Division,X11 Department,X111 Agent,X112 Service,X113 Location,X114 Call Center,X115 Online Service,Comments,X12 Department,X121 Agent,X122 Service,X123 Location,X124 Call Center,X125 Online Service,Comments,X2 Division,X21 Department,X211 Agent,X212 Service,X213 Location,X214 Call Center,X215 Online Service,Comments,X22 Department,X221 Agent,X222 Service,X223 Location,X224 Call Center,X225 Online Service,Comments
Jan-21,1,X1,X1,Kuwaiti,X1,555555,"Kuwait, Hawalli",Lower Management,8/15/1969,Male,Single,Non Educated,3.2,3.1,2.6,3.4,2,2.6,2,3,"“I would feel the same in your situation, but we will sort this out…”",2.6,2.6,3.4,2.4,2.4,3.2,"“I would feel the same in your situation, but we will sort this out…”",3.0,3.2,3,2.8,3.4,3.2,3.4,"“I would feel the same in your situation, but we will sort this out…”",3.2,3.4,3.6,4,3.4,3.6,"“I would feel the same in your situation, but we will sort this out…”"
Jan-21,2,X2,X2,Kuwaiti,X2,555555,"Kuwait, Hawalli",Middle Management,8/16/1969,Female,Married,Elementry School,2.8,2.6,3.4,2.8,3.2,3.4,3.6,4,“I know how frustrating it can be – let’s see how I can help you…”,2.9,2.4,3.2,2.4,3.6,4.2,“I know how frustrating it can be – let’s see how I can help you…”,3.1,3.4,2.8,3.2,3.6,3.8,3.8,“I know how frustrating it can be – let’s see how I can help you…”,2.7,1.4,2.8,2.6,1.8,2.6,“I know how frustrating it can be – let’s see how I can help you…”
Jan-21,3,X3,X3,Kuwaiti,X3,555555,"Kuwait, Hawalli",Higher Management,8/17/1969,Female,Divorce,Middle School,3.1,2.8,3.1,3.4,3,2.8,3,3.2,“I completely understand how frustrating it is…”,3.2,2.4,3.6,2.2,2,3.6,“I completely understand how frustrating it is…”,3.1,3.1,3.4,2.8,2.2,3.4,3.6,“I completely understand how frustrating it is…”,3.0,3.8,3.4,2.4,2.4,1.8,“I completely understand how frustrating it is…”
Jan-21,4,X4,X4,Kuwaiti,X4,555555,"Kuwait, Hawalli",Executive,8/18/1969,Female,Sperated,High School,2.7,3.0,2.7,2.6,2.2,2.4,3.8,2.4,“I appreciate how difficult it is to…”,2.9,2.2,3.2,2,3.6,1.6,“I appreciate how difficult it is to…”,2.8,3.0,2.6,3,2.8,3,3.6,“I appreciate how difficult it is to…”,2.7,2.2,4,3.6,2.8,3,“I appreciate how difficult it is to…”
Jan-21,5,X5,X5,Kuwaiti,X5,555555,"Kuwait, Hawalli",Professional,8/19/1969,Female,Widowed,Two year College,2.9,2.8,3.2,3.4,3,2.4,3.8,3.2,"“We will work to resolve the problem. You just enjoy your (birthday/holidays/Christmas break, etc.), and I will be in touch shortly.”",2.8,3.8,3.2,3.6,2.8,2.4,"“We will work to resolve the problem. You just enjoy your (birthday/holidays/Christmas break, etc.), and I will be in touch shortly.”",3.0,2.9,2.8,3.6,1.8,3.4,3,"“We will work to resolve the problem. You just enjoy your (birthday/holidays/Christmas break, etc.), and I will be in touch shortly.”",3.0,2.2,2,2.8,2.8,4.2,"“We will work to resolve the problem. You just enjoy your (birthday/holidays/Christmas break, etc.), and I will be in touch shortly.”"
Jan-21,6,X6,X6,Kuwaiti,X6,555555,"Kuwait, Capital",Engineering,5/1/1980,Female,Single,College,3.0,3.2,2.8,2.8,2.6,3,2.8,2.6,“We are keen to resolve this as much as you are…”,2.4,4.2,2.2,2.6,1.8,2.2,“We are keen to resolve this as much as you are…”,3.1,3.1,3.6,1.8,4.2,3.6,2.4,“We are keen to resolve this as much as you are…”,2.4,2.8,2.8,3.4,1.4,2.4,“We are keen to resolve this as much as you are…”
Jan-21,7,X7,X7,Kuwaiti,X7,555555,"Kuwait, Capital",Education,5/2/1980,Male,Single,Higher Education,3.1,3.1,3.0,4.4,2,3.2,2.2,3,"“If I were in your position, I would feel exactly the same…”",3.2,3,1.8,2.8,2.8,3.4,"“If I were in your position, I would feel exactly the same…”",3.1,3.4,4,2.8,4,3.2,3,"“If I were in your position, I would feel exactly the same…”",2.9,3.8,2.4,3,3.8,4,"“If I were in your position, I would feel exactly the same…”"
Jan-21,8,X8,X8,Kuwaiti,X8,555555,"Kuwait, Capital",Medical,5/3/1980,Male,Married,College,2.9,2.8,3.0,3.4,2,2.2,3.2,4.2,"If I were in your position, I would feel exactly the same…",3.0,2.4,2.8,3.6,4.4,3,"If I were in your position, I would feel exactly the same…",3.2,3.1,4,3,2.8,3.2,2.4,"If I were in your position, I would feel exactly the same…",3.0,2.4,3.2,3.6,2.6,3.4,"If I were in your position, I would feel exactly the same…"
Jan-21,9,X9,X9,Kuwaiti,X9,555555,"Kuwait, Capital",Administrator,5/4/1980,Male,Married,College,3.0,3.2,2.7,2.4,3,2.8,3,2.2,“I appreciate you bringing this to our attention…”,2.8,2.6,3,2.2,3.6,2.6,“I appreciate you bringing this to our attention…”,2.8,3.4,4.8,4,2.6,2.2,3.2,“I appreciate you bringing this to our attention…”,3.1,2.2,3.6,3.8,2.4,2.6,“I appreciate you bringing this to our attention…”
Jan-21,10,X10,X10,Kuwaiti,X10,555555,"Kuwait, Capital",Technical,5/5/1980,Male,Married,Two year College,3.1,3.0,3.0,3.4,4,2.8,2.2,2.6,“I will contact you as soon as we have had an update.”,2.7,2.2,2.8,2.8,2,3,“I will contact you as soon as we have had an update.”,3.1,3.2,3.8,4,2.4,3,3,“I will contact you as soon as we have had an update.”,2.4,2.4,3.2,2.6,3.6,2,“I will contact you as soon as we have had an update.”
Jan-21,11,X11,X11,Kuwaiti,X11,555555,"Kuwait, Alfarwania",Business Man,6/10/1991,Male,Married,Elementry School,3.3,3.5,3.2,2.6,2.8,3.6,3.2,3.6," “Definitely, you are making perfect sense.”",3.2,2.4,2.6,2.2,3.2,2.4," “Definitely, you are making perfect sense.”",2.5,2.8,2,3.8,2.6,2.8,2.6," “Definitely, you are making perfect sense.”",3.3,3.2,3,3.4,3.2,2.6," “Definitely, you are making perfect sense.”"
Jan-21,12,X12,X12,Kuwaiti,X12,555555,"Kuwait, Alfarwania",Other,6/11/1991,Male,Widowed,Middle School,2.8,2.8,2.8,3,3,3.6,1.8,2.8,“I can assure you that this will absolutely happen.”,3.3,2.6,3.2,3,3.2,2.4,“I can assure you that this will absolutely happen.”,3.2,3.0,3.6,3,3.2,2.8,2.4,“I can assure you that this will absolutely happen.”,3.1,3.8,3,2.4,1.8,3,“I can assure you that this will absolutely happen.”
Jan-21,13,X13,X13,Kuwaiti,X13,555555,"Kuwait, Alfarwania",Professional,6/12/1991,Female,Single,Elementry School,3.1,3.0,3.3,2.4,4,4,2.6,3.4,“We will help you get this issue resolved.”,2.8,4.2,3.2,3.2,2.6,3,“We will help you get this issue resolved.”,3.2,3.5,3.8,3.8,3.4,3.4,3,“We will help you get this issue resolved.”,2.9,3.4,3.4,2.2,3.2,3,“We will help you get this issue resolved.”
Jan-21,14,X14,X14,Kuwaiti,X14,555555,"Kuwait, Alfarwania",Engineering,6/13/1991,Female,Single,Middle School,3.2,3.0,3.0,2.8,2.8,1.8,3.4,4.4,"“Apologies for the wait, I appreciate your patience.”",3.4,3.4,3.2,2.2,2,2.4,"“Apologies for the wait, I appreciate your patience.”",3.3,2.8,2.6,2.8,3,2.2,3.6,"“Apologies for the wait, I appreciate your patience.”",2.8,4.2,3.8,3,3,4,"“Apologies for the wait, I appreciate your patience.”"
Jan-21,15,X15,X15,Kuwaiti,X15,555555,"Kuwait, Alfarwania",Education,6/14/1991,Female,Single,Two year College,3.3,3.4,3.0,2.8,2,3.4,3,3.6,"“Don’t worry, I can see why you did that.”",3.1,2.8,2.6,2.6,1.8,3.4,"“Don’t worry, I can see why you did that.”",3.0,2.7,3.2,2.4,3.2,2.8,2,"“Don’t worry, I can see why you did that.”",2.5,3,3.4,2.4,3.2,2.6,"“Don’t worry, I can see why you did that.”"
Jan-21,16,X16,X16,Non Kuwaiti,X16,555555,"Kuwait, AlJahra",Medical,4/5/2000,Male,Sperated,High School,3.0,3.2,2.8,3.8,2.6,2.4,2.6,2.8,"Don’t worry, I can see why you did that.",3.4,3.8,2.8,4,2.8,3.4,"Don’t worry, I can see why you did that.",2.7,3.1,2,3.2,3.2,3.8,3.4,"Don’t worry, I can see why you did that.",2.2,2,3.2,1.4,3,3,"Don’t worry, I can see why you did that."
Jan-21,17,X17,X17,Non Kuwaiti,X17,555555,"Kuwait, AlJahra",Administrator,4/6/2000,Female,Divorce,Non Educated,3.0,3.1,2.9,3,3.2,2.6,2.2,3.4,"“Yes, that would certainly frustrate me too.”",3.6,2,3.4,3.2,3,3.8,"“Yes, that would certainly frustrate me too.”",3.3,2.7,3,2.8,2,3.6,2,"“Yes, that would certainly frustrate me too.”",3.2,2.6,3.2,2.2,3,2.4,"“Yes, that would certainly frustrate me too.”"
Jan-21,18,X18,X18,Non Kuwaiti,X18,555555,"Kuwait, AlJahra",Lower Management,4/7/2000,Male,Divorce,Higher Education,2.9,2.7,3.0,2,2.6,3,4.2,3.2,“What I would do in this situation is…”,3.2,4,3.2,2.8,2.8,4,“What I would do in this situation is…”,3.0,2.6,1.6,3.2,3.4,1.6,3,“What I would do in this situation is…”,3.6,3.4,3,3,4.2,2.4,“What I would do in this situation is…”
