Month,Obs #,name,E-mail,Nationality,User Name,Tel,Address,Job Title,DoB,Gender,Marital Status,Education Level,Complain,Suggestion,FeedBack
Jan-21,1,X1,X1,Kuwaiti,X1,555555,"Kuwait, Hawalli",Lower Management,15-Aug,Male,Single,Non Educated,"You will be expected to draft and proof written correspondence, such that few errors are evident and few corrections are needed.",I want to make a suggestion.,Has made frequent errors that are harmful to business operations.
Jan-21,2,X2,X2,Kuwaiti,X2,555555,"Kuwait, Hawalli",Middle Management,16-Aug,Female,Married,Elementry School,You will be expected to work toward professional certification in your field/discipline.,His suggestion was greeted with hoots of laughter.,The supervisor/department head has received numerous complaints about the quality of work.
Jan-21,3,X3,X3,Kuwaiti,X3,555555,"Kuwait, Hawalli",Higher Management,17-Aug,Female,Divorce,Middle School,You will be expected to participate in 40 hours of job related professional development classes offered by the Human Resource Office.,He surmised that the suggestion wouldn't find favour.,The quality of work produced is unacceptable.
Jan-21,4,X4,X4,Kuwaiti,X4,555555,"Kuwait, Hawalli",Executive,18-Aug,Female,Sperated,High School,"When working with chemical products, you will be expected to always make safety the highest priority and read the instructions on the label for proper usage.",This suggestion won't be welcomed at No. 10.,Does not complete required paperwork.
Jan-21,5,X5,X5,Kuwaiti,X5,555555,"Kuwait, Hawalli",Professional,19-Aug,Female,Widowed,Two year College,You will be expected to perform work in a professional manner and complete assignments on time.,They fobbed off our suggestion.,Is not as careful in checking work product for errors as he/she could be.
Jan-21,6,X6,X6,Kuwaiti,X6,555555,"Kuwait, Capital",Engineering,1-May,Female,Single,College,You will be expected to accept job assignments willingly and perform them in a satisfactory manner.,Can I make a suggestion?,Tends to miss small errors in work product.
Jan-21,7,X7,X7,Kuwaiti,X7,555555,"Kuwait, Capital",Education,2-May,Male,Single,Higher Education,"You are expected to familiarize yourself with the office procedures, rules and regulations and to be able to answer routine questions regarding the same.",He balked at making the suggestion.,Required paperwork is completed late or is only partially complete.
Jan-21,8,X8,X8,Kuwaiti,X8,555555,"Kuwait, Capital",Medical,3-May,Male,Married,College,"You will be expected to keep organized, neat, and accurate records.",His suggestion borders on the ridiculous.,Does not require constant supervision.
Jan-21,9,X9,X9,Kuwaiti,X9,555555,"Kuwait, Capital",Administrator,4-May,Male,Married,College,You will be expected to proofread all written or typed materials for errors and keep all publications for the office updated as needed.,The two leaders were flummoxed by the suggestion.,"Error rate is acceptable, and all work is completed timely."
Jan-21,10,X10,X10,Kuwaiti,X10,555555,"Kuwait, Capital",Technical,5-May,Male,Married,Two year College,You will be expected to use your experience and training to complete your assignments in a satisfactory manner.,He accused Mrs Moore of making an indecent suggestion.,Forms and required paperwork are completed on time with minimal errors.
Jan-21,11,X11,X11,Kuwaiti,X11,555555,"Kuwait, Alfarwania",Business Man,10-Jun,Male,Married,Elementry School,You will be expected to pay attention to detail when completing assignments.,Did the director say anything against your suggestion?,Managers and co-workers have commented on high levels of accuracy and work productivity.
Jan-21,12,X12,X12,Kuwaiti,X12,555555,"Kuwait, Alfarwania",Other,11-Jun,Male,Widowed,Middle School,You will be expected to keep up with current changes in laws related to your position.,Might I make a modest suggestion?,Takes pride in work and strives to improve work performance.
Jan-21,13,X13,X13,Kuwaiti,X13,555555,"Kuwait, Alfarwania",Professional,12-Jun,Female,Single,Elementry School,You will be expected to type most documents with no typos or formatting errors.,We are in the process of reviewing your suggestion.,"All memos, reports, forms and correspondence are completed on time with no errors."
Jan-21,14,X14,X14,Kuwaiti,X14,555555,"Kuwait, Alfarwania",Engineering,13-Jun,Female,Single,Middle School,You will be expected to check spelling on all documents before sending them out.,His suggestion is in a sense workable.,Has less than a 1% error rate on work product.
Jan-21,15,X15,X15,Kuwaiti,X15,555555,"Kuwait, Alfarwania",Education,14-Jun,Female,Single,Two year College,You will be expected to complete tasks as assigned.,He made an indecent suggestion to my wife.,Accuracy is excellent.
Jan-21,16,X16,X16,Non Kuwaiti,X16,555555,"Kuwait, AlJahra",Medical,5-Apr,Male,Sperated,High School,You will be expected to work at a rate that is similar to teammates so teamwork goes smoothly.,I want to offer a suggestion.,Quantity of work produced is outstanding.
Jan-21,17,X17,X17,Non Kuwaiti,X17,555555,"Kuwait, AlJahra",Administrator,6-Apr,Female,Divorce,Non Educated,You will be expected to develop an organized filing system that enables others to access necessary files in case of your absence.,He made the suggestion that we go by.,"Often calls in to work without prior approval, resulting in excessive unscheduled absences."
Jan-21,18,X18,X18,Non Kuwaiti,X18,555555,"Kuwait, AlJahra",Lower Management,7-Apr,Male,Divorce,Higher Education,You will be expected to prepare and process purchase requisitions and receiving reports timely.,He dismissed her suggestion out of hand.,Leaves the work area unattended to run personal errands.
Jan-21,19,X19,X19,Non Kuwaiti,X19,555555,"Kuwait, AlJahra",Middle Management,8-Apr,Female,Widowed,College,"You will be expected to establish, organize, and maintain all departmental files.",Have you got an alternative suggestion?,Is frequently late to work.
Jan-21,20,X20,X20,Non Kuwaiti,X20,555555,"Kuwait, AlJahra",Higher Management,9-Apr,Female,Single,College,You will be expected to keep current balances of all budget accounts.,Are you agreeable to my suggestion?,Frequently leaves work early.
Jan-21,21,X21,X21,Non Kuwaiti,X21,555555,"Kuwait, Mobark Alkabeer",Lower Management,17-Sep,Male,Married,College,You will be expected to maintain a to do list to help you stay on top of dead lines.,Might I make a suggestion?,"Occasionally calls in to work without prior approval, resulting in unscheduled absences."
Jan-21,22,X22,X22,Non Kuwaiti,X22,555555,"Kuwait, Mobark Alkabeer",Middle Management,18-Sep,Male,Married,College,You will be expected to observe time reporting rules and regulations.,The mayor bucked at the school board's suggestion.,Occasionally arrives late to work.
Jan-21,23,X23,X23,Non Kuwaiti,X23,555555,"Kuwait, Mobark Alkabeer",Higher Management,19-Sep,Male,Married,Two year College,You will be expected to refrain from making unauthorized solicitations while on duty or on University premises.,We value your suggestion highly.,Sometimes does not make sure all work is completed before leaving for the day.
Jan-21,24,X24,X24,Non Kuwaiti,X24,555555,"Kuwait, Mobark Alkabeer",Executive,20-Sep,Male,Married,College,You will be expected to meet production standards for your position. (Be sure to list benchmarks related to the position).,You can put forward your suggestion at the meeting.,Occasionally leaves work early.
Jan-21,25,X25,X25,Non Kuwaiti,X25,555555,"Kuwait, Mobark Alkabeer",Professional,21-Sep,Male,Married,Two year College,"You will be expected to ensure that routine office procedures (i.e. folders pulled, calendars created and distributed, folders filed, mail delivered and picked up, supplies kept current, student workers supervised) are completed on a daily basis.",The delegate moved for a reconsideration of the suggestion.,Consistently arrives to work on time.
Jan-21,26,X26,X26,Non Kuwaiti,X26,555555,"Kuwait, AlAhmadi",Engineering,18-Feb,Male,Widowed,College,You will be expected to observe University policies.,May I present a suggestion?,Makes sure work area is covered at all times.
Jan-21,27,X27,X27,Non Kuwaiti,X27,555555,"Kuwait, AlAhmadi",Education,19-Feb,Female,Divorce,Two year College,You will be expected to account for all state funds and property which is assigned to you.,Someone came out with a most useful suggestion.,"Has had no unscheduled absences, except for documented emergencies."
Jan-21,28,X28,X28,Non Kuwaiti,X28,555555,"Kuwait, AlAhmadi",Medical,20-Feb,Female,Sperated,Higher Education,You will be expected to complete all work assignments by their deadlines except under unusual circumstances.,The suggestion inevitably provoked outrage from student leaders.,Has a good attendance record.
Jan-21,29,X29,X29,Non Kuwaiti,X29,555555,"Kuwait, AlAhmadi",Administrator,21-Feb,Female,Married,Higher Education,You will be expected to spend a little extra time preparing for the job and then to perform the assigned task satisfactorily.,Felicity seemed pleased at the suggestion.,Can always be counted on to work overtime when necessary without complaint.
Jan-21,30,X30,X30,Non Kuwaiti,X30,555555,"Kuwait, AlAhmadi",Technical,22-Feb,Male,Married,College,You will be expected to notify your supervisor [or the timekeeper] if you cannot come in to work in accordance with departmental leave policy.,She firmly rejected the suggestion that she had lied to Parliament.,Always at work and on time.
Feb-21,1,X1,X1,Kuwaiti,X1,555555,"Kuwait, Hawalli",Lower Management,15-Aug,Male,Single,Non Educated,"You will be expected to keep accurate records necessary for expense reports, such as mileage, meals, and lodging.",I want to make a suggestion.,Never misses work without prior approval and appropriate notification.
Feb-21,2,X2,X2,Kuwaiti,X2,555555,"Kuwait, Hawalli",Middle Management,16-Aug,Female,Married,Elementry School,You will be expected to report to work at 7:45 a.m. and observe scheduled work and meal breaks.,His suggestion was greeted with hoots of laughter.,Has had no unscheduled absences during the rating period.
Feb-21,3,X3,X3,Kuwaiti,X3,555555,"Kuwait, Hawalli",Higher Management,17-Aug,Female,Divorce,Middle School,You will be expected to attend scheduled meetings and arrive for these meetings on time.,He surmised that the suggestion wouldn't find favour.,Projects an attitude of superiority that turns off other employees.
Feb-21,4,X4,X4,Kuwaiti,X4,555555,"Kuwait, Hawalli",Executive,18-Aug,Female,Sperated,High School,You will be expected to call the Director if you must be late or absent according to departmental leave policy.,This suggestion won't be welcomed at No. 10.,Not cooperative and frequently criticizes others.
Feb-21,5,X5,X5,Kuwaiti,X5,555555,"Kuwait, Hawalli",Professional,19-Aug,Female,Widowed,Two year College,You will be expected to not leave your office without making sure your phone is covered.,They fobbed off our suggestion.,Displays excessive negativity when working with others.
Feb-21,6,X6,X6,Kuwaiti,X6,555555,"Kuwait, Capital",Engineering,1-May,Female,Single,College,You will be expected to reduce tardiness and report to work on time.,Can I make a suggestion?,Displays occasional negativity when working with others.
Feb-21,7,X7,X7,Kuwaiti,X7,555555,"Kuwait, Capital",Education,2-May,Male,Single,Higher Education,You will be expected to be at your duty station and perform your duties at all times except during official breaks.,He balked at making the suggestion.,Rarely offers to assist others in the office.
Feb-21,8,X8,X8,Kuwaiti,X8,555555,"Kuwait, Capital",Medical,3-May,Male,Married,College,You must not leave your assigned work area without permission.,His suggestion borders on the ridiculous.,Makes negative comments that affect working relationships with others.
Feb-21,9,X9,X9,Kuwaiti,X9,555555,"Kuwait, Capital",Administrator,4-May,Male,Married,College,You will be expected to use sick leave only for your own personal illness.,The two leaders were flummoxed by the suggestion.,Is usually able to answer customer questions.
Feb-21,10,X10,X10,Kuwaiti,X10,555555,"Kuwait, Capital",Technical,5-May,Male,Married,Two year College,You will be expected to have your employee I.D./time card when you report to work.,He accused Mrs Moore of making an indecent suggestion.,Maintains good working relationships with coworkers.
