Month,Month,Obs #,Name,Email,Nationality,Nationality,User Name,Tel,Address,Address,Job Title,Job Title,DoB,Gender,Gender,Marital Status,Marital Status,Education Level,Education Level,Stability,Cost of Living,Confidence,Happiness
1,Jan-21,1,X1,X1,1,Kuwaiti,X1,555555,1,"Kuwait, Hawalli",1,Lower Management,8/15/1969,1,Male,1,Single,1,Non Educated,5,4,3,2
1,Jan-21,2,X2,X2,1,Kuwaiti,X2,555555,1,"Kuwait, Hawalli",2,Middle Management,8/16/1969,2,Female,2,Married,2,Elementry School,4,2,5,3
1,Jan-21,3,X3,X3,1,Kuwaiti,X3,555555,1,"Kuwait, Hawalli",3,Higher Management,8/17/1969,2,Female,3,Divorce,3,Middle School,1,1,4,3
1,Jan-21,4,X4,X4,1,Kuwaiti,X4,555555,1,"Kuwait, Hawalli",4,Executive,8/18/1969,2,Female,4,Sperated,4,High School,4,3,5,5
1,Jan-21,5,X5,X5,1,Kuwaiti,X5,555555,1,"Kuwait, Hawalli",5,Professional,8/19/1969,2,Female,5,Widowed,5,Two year College,4,3,2,3
1,Jan-21,6,X6,X6,1,Kuwaiti,X6,555555,2,"Kuwait, Capital",6,Engineering,5/1/1980,2,Female,1,Single,6,College,2,4,2,4
1,Jan-21,7,X7,X7,1,Kuwaiti,X7,555555,2,"Kuwait, Capital",7,Education,5/2/1980,1,Male,1,Single,7,Higher Education,4,3,3,5
1,Jan-21,8,X8,X8,1,Kuwaiti,X8,555555,2,"Kuwait, Capital",8,Medical,5/3/1980,1,Male,2,Married,6,College,3,4,2,5
1,Jan-21,9,X9,X9,1,Kuwaiti,X9,555555,2,"Kuwait, Capital",9,Administrator,5/4/1980,1,Male,2,Married,6,College,3,5,4,3
1,Jan-21,10,X10,X10,1,Kuwaiti,X10,555555,2,"Kuwait, Capital",10,Technical,5/5/1980,1,Male,2,Married,5,Two year College,4,3,5,2
1,Jan-21,11,X11,X11,1,Kuwaiti,X11,555555,3,"Kuwait, Alfarwania",11,Business Man,6/10/1991,1,Male,2,Married,2,Elementry School,3,5,2,1
1,Jan-21,12,X12,X12,1,Kuwaiti,X12,555555,3,"Kuwait, Alfarwania",12,Other,6/11/1991,1,Male,5,Widowed,3,Middle School,4,4,2,5
1,Jan-21,13,X13,X13,1,Kuwaiti,X13,555555,3,"Kuwait, Alfarwania",5,Professional,6/12/1991,2,Female,1,Single,2,Elementry School,5,3,4,2
1,Jan-21,14,X14,X14,1,Kuwaiti,X14,555555,3,"Kuwait, Alfarwania",6,Engineering,6/13/1991,2,Female,1,Single,3,Middle School,3,2,1,3
1,Jan-21,15,X15,X15,1,Kuwaiti,X15,555555,3,"Kuwait, Alfarwania",7,Education,6/14/1991,2,Female,1,Single,5,Two year College,2,5,2,5
